TERM_REDUCED,SECTION,FREQ
Sasidhar N. Nirudodhi,Fullname,1
Justin B. Sperry,Fullname,1
Jason C. Rouse,Fullname,1
James A. Carroll,Fullname,1
Kasper D. Rand,Fullname,1
Ulrike Leurs,Fullname,1
David D. Weis,Fullname,1
Mohammed A. Al-Naqshabandi,Fullname,1
Tyler S. Hageman,Fullname,1
Daniel Deredge,Fullname,1
Patrick L. Wintrode,Fullname,1
Malvina Papanastasiou,Fullname,1
John D. Lambris,Fullname,1
Sheng Li,Fullname,1
Sarah Urata,Fullname,1
Amy Engelbrecht-Wiggans,Fullname,2
Amanda Forster,Fullname,2
Raied Caromi,Fullname,1
Michael Souryal,Fullname,1
Timothy A. Hall,Fullname,1
Kevin Brady,Fullname,1
Mary Brady,Fullname,1
Alden Dima,Fullname,1
Philippe Dessauw,Fullname,1
Guillaume Sousa Amaral,Fullname,1
Benjamin Long,Fullname,1
Thurston Sexton,Fullname,1
Talapady N. Bhat,Fullname,1
Darragh O'Keeffe,Fullname,4
Maya Hutchins,Fullname,2
Jianhua Huang,Fullname,4
Yang Song,Fullname,2
Preeti Rao,Fullname,2
Tamae M. Wong,Fullname,4
James R. Whetstone,Fullname,4
Geoffrey Roest,Fullname,2
Ian Bell,Fullname,1
Demian Riccardi,Fullname,2
Allan H. Harvey,Fullname,4
Giovanni Garberoglio,Fullname,1
Yvonne B. Gerbig,Fullname,1
Chris A. Michaels,Fullname,1
Maxwell Praniewicz,Fullname,1
Brandon Lane,Fullname,4
Felix Kim,Fullname,1
Christopher Saldana,Fullname,1
Stanley W Gilbert,Fullname,1
David T Butry,Fullname,1
Rick D Davis,Fullname,1
Richard G Gann,Fullname,1
Robert Gendler,Fullname,1
Allen Golbig,Fullname,1
Daniel Brodjieski,Fullname,1
Jason Blake,Fullname,1
Blair Heiserman,Fullname,1
Joshua Glemza,Fullname,1
Elyse Anderson,Fullname,1
Paige Ramsey,Fullname,1
Robert Hellmann,Fullname,2
Ho Yeung,Fullname,1
Lisa Borsuk,Fullname,1
Katherine Gettings,Fullname,1
Kevin Kiesler,Fullname,1
Becky Steffen,Fullname,1
Peter Vallone,Fullname,1
Marcus H. Mendenhall,Fullname,1
James P. Cline,Fullname,1
David Black,Fullname,1
Mudumbai Ranganathan,Fullname,1
Anirudha Sahoo,Fullname,2
Timothy Hall,Fullname,1
Thao Nguyen,Fullname,1
Adam J. Wunderlich,Fullname,1
Aric Warner Sanders,Fullname,1
Jason B. Coder,Fullname,1
Weichao Gao,Fullname,1
Eric Marksz,Fullname,1
Darrell Schlom,Fullname,1
Aaron M. Hagerstrom,Fullname,1
Nate D. Orloff,Fullname,1
Michael R. Souryal,Fullname,3
Thao T. Nguyen,Fullname,2
Adam Wunderlich,Fullname,1
Duncan A. McGillivray,Fullname,1
Raied M. Caromi,Fullname,1
Steve Prinzivalli,Fullname,2
Clayton Fain,Fullname,2
Michael Stock,Fullname,2
Elizabeth DiGangi,Fullname,2
Bryan Biggs,Fullname,2
Charlie Draper,Fullname,1
Seth Baldelli,Fullname,1
Uran Veseshta,Fullname,1
Peter Salameh,Fullname,2
William Callahan,Fullname,2
James Whetstone,Fullname,1
Susan Krueger,Fullname,1
Joseph E. Curtis,Fullname,1
Alexander Grishaev,Fullname,1
Peter Bajcsy,Fullname,3
Nicholas J. Schaub,Fullname,1
Carl G. Simon Jr.,Fullname,3
Edward Sisco,Fullname,3
Arun S. Moorthy,Fullname,1
Eugene Paulechka,Fullname,1
Benjamin Molnar,Fullname,1
Heigel C. Jarred,Fullname,1
Whitenton Eric,Fullname,1
Jarred C. Heigel,Fullname,1
Lyle Levine,Fullname,1
Thien Phan,Fullname,1
Justin Whiting,Fullname,1
Jarred Heigel,Fullname,2
Raymond L. Plante,Fullname,1
Joshua A. Taillon,Fullname,1
June W. Lau,Fullname,1
Gretchen Greene,Fullname,1
Marcus Newrock,Fullname,1
Matthew Bundy,Fullname,1
Rodney Bryant,Fullname,1
Alexandre Moreaux,Fullname,1
Samantha Gamboa,Fullname,1
David Griffith,Fullname,1
Richard Rouil,Fullname,1
Sergey A. Tashkun,Fullname,1
Piotr A. Domanski,Fullname,1
Andrea Medina-Smith,Fullname,1
Chandler Becker,Fullname,1
Jooil Kim,Fullname,1
Kristal Verhulst,Fullname,1
Timothy Lueker,Fullname,1
Adam Cox,Fullname,1
Stephen Walker,Fullname,1
Bill Paplawsky,Fullname,1
Bill Angel,Fullname,1
Thomas Pongetti,Fullname,1
Ray F. Weiss,Fullname,1
Ralph F. Keeling,Fullname,1
Charles E. Miller,Fullname,1
Arun S. Moorty,Fullname,1
Raphael Barbau,Fullname,1
Conrad Bock,Fullname,1
Mehdi Dadfarnia,Fullname,1
Kerry Scott,Fullname,1
Ioannis L. Karageorgos,Fullname,1
Venkata S. Tayi,Fullname,1
Michael Butler,Fullname,1
Amber Burns,Fullname,1
Greta Babakhanova,Fullname,1
Stephen M Zimmerman,Fullname,1
Laura T Pierce,Fullname,1
Sumona Sarkar,Fullname,1
Nicholas J Schaub,Fullname,1
Carl G Simon Jr.,Fullname,1
Peter Mohr,ContactPoint,1
Erica Sawyer,ContactPoint,1
Angela Lee,ContactPoint,5
Harold Booth,ContactPoint,1
Michael Winchester,ContactPoint,1
Richard Candell,ContactPoint,5
Aaron Forster,ContactPoint,1
Matthew Boyd,ContactPoint,1
Ursula Kattner,ContactPoint,1
Stephen Langer,ContactPoint,1
William Wallace,ContactPoint,1
Robert Lipman,ContactPoint,3
Richard Ricker,ContactPoint,3
Patricia Flanagan,ContactPoint,3
Ronald Boisvert,ContactPoint,2
Daniel Wheeler,ContactPoint,1
Vadim Okun,ContactPoint,1
Thomas Allison,ContactPoint,2
Wesley Griffin,ContactPoint,1
Thomas Cleary,ContactPoint,1
Terrell Vanderah,ContactPoint,1
Przemyslaw Klosowski,ContactPoint,1
Thomas Hedberg,ContactPoint,3
Sergey Polyakov,ContactPoint,1
Stephen Stein,ContactPoint,1
Matthew Hoehler,ContactPoint,4
Zachary Levine,ContactPoint,8
Geraldine Cheok,ContactPoint,2
John Wack,ContactPoint,1
Joseph Conny,ContactPoint,2
Mina Seif,ContactPoint,1
Kamal Choudhary,ContactPoint,1
David Sheen,ContactPoint,3
Ian Bell,ContactPoint,9
Catherine Cooksey,ContactPoint,1
Douglas White,ContactPoint,1
Brian Maranville,ContactPoint,2
Karen Olsen,ContactPoint,4
Keana Scott,ContactPoint,1
Mark Alexander Henn,ContactPoint,4
Francesca Tavazza,ContactPoint,1
Derek Juba,ContactPoint,1
Peter Linstrom,ContactPoint,2
Alexander Kramida,ContactPoint,8
Russell Johnson,ContactPoint,2
Harold Hatch,ContactPoint,1
Paul Black,ContactPoint,1
Judah Levine,ContactPoint,1
Lee Yu,ContactPoint,1
Benjamin Place,ContactPoint,3
Donald Burgess,ContactPoint,1
Lisa Choe,ContactPoint,2
Lane Sander,ContactPoint,1
Amanda Forster,ContactPoint,1
Lynden Shalm,ContactPoint,1
Scott Glancy,ContactPoint,2
73_EL_Data@nist.gov,ContactPoint,1
Tyler Martin,ContactPoint,1
Faical Congo,ContactPoint,2
William Luecke,ContactPoint,2
Bryan Barnes,ContactPoint,2
Thurston Sexton,ContactPoint,2
Prem Rachakonda,ContactPoint,1
Peter Bajcsy,ContactPoint,6
Michael Donahue,ContactPoint,2
Roldan Pozo,ContactPoint,1
Marcia Huber,ContactPoint,1
Jiann Yang,ContactPoint,1
Kevin McGrattan,ContactPoint,1
Christopher Davis,ContactPoint,6
Katherine Sharpless,ContactPoint,2
William Healy,ContactPoint,1
William Osborn,ContactPoint,1
Adam Creuziger,ContactPoint,1
Paul Kienzle,ContactPoint,1
Ashley Russell,ContactPoint,1
Regis Kline,ContactPoint,1
Raied Caromi,ContactPoint,4
Justyna Zwolak,ContactPoint,2
David Duewer,ContactPoint,1
David Flater,ContactPoint,1
Tamae Wong,ContactPoint,5
Anna Karion,ContactPoint,6
David Cooper,ContactPoint,1
Daniel Slichter,ContactPoint,1
William Z. Bernstein,ContactPoint,2
Angela Y. Lee,ContactPoint,1
Gregory Moille,ContactPoint,1
Charles Camp Jr.,ContactPoint,1
Jeffrey Hudgens,ContactPoint,1
Yong Wan,ContactPoint,1
Eugene Song,ContactPoint,1
Arlin B. Stoltzfus,ContactPoint,1
Timothy Zimmerman,ContactPoint,1
Richard Candell Jr.,ContactPoint,2
CheeYee Tang,ContactPoint,1
Gregory W. Vogl,ContactPoint,1
Javier Bernal,ContactPoint,3
Ellen M. Voorhees,ContactPoint,2
Jason Fox,ContactPoint,1
Ya-Shian Li-Baboud,ContactPoint,1
Lee L. Yu,ContactPoint,1
Douglas Thomas,ContactPoint,3
Robert R. Lipman,ContactPoint,1
Amy Engelbrecht-Wiggans,ContactPoint,4
Piotr A. Domanski,ContactPoint,3
Lucas Hale,ContactPoint,1
Talapady N. Bhat,ContactPoint,6
Patricia A. Flanagan,ContactPoint,7
Ian Soboroff,ContactPoint,1
David A. LaVan,ContactPoint,4
Cedric J. Powell,ContactPoint,8
Stephen M. Seltzer,ContactPoint,5
Stephen E. Stein,ContactPoint,2
Chris Muzny,ContactPoint,8
Vladimir Diky,ContactPoint,2
Donald R. Burgess,ContactPoint,2
Karl K. Irikura,ContactPoint,1
Gillian Nave,ContactPoint,2
Francis J. Lovas,ContactPoint,4
Michael P. Unterweger Jr.,ContactPoint,1
Peter J. Mohr,ContactPoint,2
Lawrence T. Hudson,ContactPoint,1
Charles W. Clark,ContactPoint,1
Eite Tiesinga,ContactPoint,1
Yuri Ralchenko,ContactPoint,3
Richard A. Allen,ContactPoint,1
William E. Wallace III,ContactPoint,1
Peter Bradley,ContactPoint,1
Katherine E. Sharpless,ContactPoint,7
William F. Guthrie,ContactPoint,2
Ryan Falkenstein-Smith,ContactPoint,1
Helen Qiao,ContactPoint,1
William M. Healy,ContactPoint,2
Joseph A. Falco,ContactPoint,1
Joshua Taillon,ContactPoint,2
Lisa Borsuk,ContactPoint,1
Xiaoyu Alan Zheng,ContactPoint,1
Stanley W. Gilbert,ContactPoint,2
Chunmei Liu,ContactPoint,1
Joel Helton,ContactPoint,1
Amanda L. Forster,ContactPoint,2
Marcia L. Huber,ContactPoint,2
Allan H. Harvey,ContactPoint,5
Keith A. Gillis,ContactPoint,1
Gerald T. Fraser,ContactPoint,2
Zachary H. Levine,ContactPoint,2
Regina L. Avila,ContactPoint,2
Tyler Diamond,ContactPoint,1
Marcus Mendenhall,ContactPoint,2
Felix Kim,ContactPoint,1
Barry I. Schneider,ContactPoint,1
Stephanie L. Outcalt,ContactPoint,1
Thomas W. Vetter,ContactPoint,1
Jennifer Lynch,ContactPoint,1
Harrison M. Skye,ContactPoint,1
Carlos A. Gonzalez,ContactPoint,1
Janiel J. Reed,ContactPoint,1
Igor Levin,ContactPoint,2
Boris Wilthan,ContactPoint,1
Chin-wen Chou,ContactPoint,1
Kimberly Briggman,ContactPoint,1
Joshua Lubell,ContactPoint,2
Junxiao Shi,ContactPoint,1
Mary Bedner,ContactPoint,1
Johanna Camara,ContactPoint,1
David Hoogerheide,ContactPoint,1
David Long,ContactPoint,2
Katherine Gettings,ContactPoint,2
Jennifer Helgeson,ContactPoint,2
Takuma Nakamura,ContactPoint,1
Adam L. Pintar,ContactPoint,1
Afzal A. Godil,ContactPoint,15
Dustin Poppendieck,ContactPoint,1
Boonserm Kulvatunyou,ContactPoint,2
Jonathan Wyrick,ContactPoint,1
Benjamin Caplins,ContactPoint,1
Kathryn Miller,ContactPoint,1
Jeeseong C. Hwang,ContactPoint,1
Enrico Lucon,ContactPoint,1
Alden A. Dima,ContactPoint,1
Mark Iadicola,ContactPoint,1
Courtney Silverthorn,ContactPoint,2
Erin Adkins,ContactPoint,3
William Stuart Dols,ContactPoint,1
Timothy Sprock,ContactPoint,1
Vladimir L. Orkin,ContactPoint,1
Brandon Lane,ContactPoint,9
David R. Black,ContactPoint,2
Kevin G. Brady,ContactPoint,1
Peter Fontana,ContactPoint,1
David J. Ross,ContactPoint,1
Joseph M. Conny,ContactPoint,2
Robert D. McMichael,ContactPoint,2
Aric Sanders,ContactPoint,3
Paul E. Black,ContactPoint,1
Karl Montgomery,ContactPoint,1
Jason Hattrick-Simpers,ContactPoint,2
Thomas A. Germer,ContactPoint,1
Dana Leaman,ContactPoint,1
Michael Paul Majurski,ContactPoint,22
Sean Lehman,ContactPoint,1
Justin Zook,ContactPoint,1
Andy Tam,ContactPoint,1
Yvonne Gerbig,ContactPoint,1
James S. Sims,ContactPoint,1
Michael Galler,ContactPoint,1
Matthew E. Staymates,ContactPoint,1
Joshua D. Kneifel,ContactPoint,1
Karen Garrity,ContactPoint,1
Bob Gendler,ContactPoint,1
Daniel Siderius,ContactPoint,3
Edward Garboczi,ContactPoint,1
Jaden Pieper,ContactPoint,5
Ulf Griesmann,ContactPoint,1
John L. Pagliaro,ContactPoint,5
Vance (Wm.) Payne,ContactPoint,1
Aaron Gilad Kusne,ContactPoint,1
Anthony Hamins,ContactPoint,1
Jessica Staymates,ContactPoint,1
Adam Fleisher,ContactPoint,3
Beck Strauss,ContactPoint,1
Jeffrey W. Hudgens,ContactPoint,2
Fernando Cintron,ContactPoint,1
Samuel Ray,ContactPoint,1
Michael Souryal,ContactPoint,2
Thao Nguyen,ContactPoint,1
Richard A. Rouil,ContactPoint,1
Anirudha Sahoo,ContactPoint,5
Yishen Sun,ContactPoint,1
Thao T. Nguyen,ContactPoint,2
Dan Kuester,ContactPoint,1
Adam Wunderlich,ContactPoint,2
Eric Marksz,ContactPoint,1
Wesley Garey,ContactPoint,1
Samantha Gamboa Quintiliani,ContactPoint,2
Susan Krueger,ContactPoint,1
Camillo Gentile,ContactPoint,1
Maria Dillard,ContactPoint,1
Stacy Schuur,ContactPoint,2
Jeffrey Marron,ContactPoint,2
Steven J. Choquette,ContactPoint,98
Ward L. Johnson,ContactPoint,1
Jeanne Quimby,ContactPoint,1
James Alexander Liddle,ContactPoint,1
Jayan Rammohan,ContactPoint,1
Nathanael David Olson,ContactPoint,1
Abneesh Srivastava,ContactPoint,1
Arun Moorthy,ContactPoint,2
Demian Riccardi,ContactPoint,1
Debra L. Kaiser,ContactPoint,1
Raymond Plante,ContactPoint,1
Jack Sklar,ContactPoint,1
Matthew Bundy,ContactPoint,1
Brian A. Weiss,ContactPoint,1
Aziza Ben Mosbah,ContactPoint,1
Samuel Stavis,ContactPoint,1
Amy Mensch,ContactPoint,1
Leanne Friedrich,ContactPoint,1
Katy Keenan,ContactPoint,1
Stephen E. Russek,ContactPoint,1
Adam Abel Creuziger,ContactPoint,1
Edward Sisco,ContactPoint,2
Andrea Medina-Smith,ContactPoint,1
Raphael Barbau,ContactPoint,1
Christina Bergonzo,ContactPoint,1
Carl Simon,ContactPoint,1
bibliographic data,Keyword,1
fundamental constants,Keyword,2
least-squares adjustment,Keyword,1
biotechnology,Keyword,2
micrornas,Keyword,1
biological measurements,Keyword,1
genomics,Keyword,1
research and analysis methods,Keyword,1
quantitative analysis,Keyword,2
advanced ceramics,Keyword,2
borides,Keyword,1
carbides,Keyword,1
ceramics,Keyword,6
diffusivities,Keyword,2
energies,Keyword,10
engineering ceramics,Keyword,1
fine ceramics,Keyword,1
material databases,Keyword,2
materials properties,Keyword,3
nitrides,Keyword,1
oxides,Keyword,1
oxynitrides,Keyword,1
structural ceramics,Keyword,2
tensile,Keyword,1
y123 superconductor,Keyword,1
alumina,Keyword,2
borate base glasses,Keyword,2
chemical properties,Keyword,4
density,Keyword,5
elastic modulus,Keyword,2
flexural strength,Keyword,2
fracture energy,Keyword,3
fracture toughness,Keyword,3
germanate base glasses,Keyword,2
grain size,Keyword,3
lattice parameters,Keyword,2
mechanical properties,Keyword,5
oxide glasses,Keyword,2
phosphate base glasses,Keyword,2
polycrystal,Keyword,3
porosity,Keyword,3
shear modulus,Keyword,2
silicate base glasses,Keyword,2
silicon carbide,Keyword,2
single crystal,Keyword,3
structural properties,Keyword,2
tensile strength,Keyword,2
thermal conductivity,Keyword,7
thermal diffusivity,Keyword,2
thermal expansion,Keyword,2
thermal properties,Keyword,3
titanium diboride,Keyword,2
zirconium dioxide,Keyword,2
cve,Keyword,1
cvss,Keyword,1
scap,Keyword,3
800-53,Keyword,1
vulnerability,Keyword,2
nvd,Keyword,1
checklists,Keyword,1
advanced functional materials,Keyword,1
advanced materials,Keyword,34
factory simulation,Keyword,1
chemical process simulation,Keyword,1
factory operations,Keyword,1
wireless performance evaluation,Keyword,1
cyber-security performance evaluation,Keyword,1
industrial control systems,Keyword,1
polymer nanocomposites,Keyword,1
durability,Keyword,1
environmental aging,Keyword,1
hydrothermal degradation,Keyword,1
fuzzy fiber composites,Keyword,1
cnt-reinforced composites,Keyword,1
photovoltaic,Keyword,3
pv,Keyword,3
weather,Keyword,3
solar,Keyword,3
array,Keyword,3
meteorology,Keyword,3
materials,Keyword,7
materials science,Keyword,4
measurement,Keyword,4
metallurgy,Keyword,1
phase,Keyword,2
phase diagram,Keyword,1
phase equilibria,Keyword,7
science,Keyword,1
solder,Keyword,1
standards,Keyword,3
technical activities,Keyword,1
thermodynamic,Keyword,1
microstructure,Keyword,3
finite-elements,Keyword,1
wireless,Keyword,3
manufacturing,Keyword,27
propagation,Keyword,1
human blood plasma,Keyword,1
metabolomics,Keyword,1
mass spectrometry,Keyword,12
liquid chromatography,Keyword,3
srm 1950,Keyword,2
iot,Keyword,1
rf,Keyword,1
node.js,Keyword,1
cad,Keyword,2
pmi,Keyword,2
interoperability,Keyword,5
data exchange,Keyword,1
corrosion,Keyword,3
nace,Keyword,2
feret,Keyword,1
face,Keyword,3
biometrics,Keyword,6
matrices,Keyword,1
linear algebra,Keyword,2
software testing,Keyword,2
radio frequency propagation,Keyword,1
industrial wireless,Keyword,4
wireless sensor networks,Keyword,2
measurement analysis,Keyword,1
jekyll-website,Keyword,1
phase-field,Keyword,1
materials-science,Keyword,1
test suite,Keyword,1
software assurance,Keyword,2
static analysis,Keyword,1
security,Keyword,2
weakness,Keyword,1
bug,Keyword,1
defect,Keyword,2
flaw,Keyword,1
polycyclic aromatic hydrocarbons pahs thermochemistry chemical structures,Keyword,1
electrical properties,Keyword,1
glasses,Keyword,1
high tc superconductors,Keyword,1
physical properties,Keyword,2
equirectangular,Keyword,1
octahedral,Keyword,1
paraboloid,Keyword,1
projection,Keyword,1
sampling,Keyword,1
texture map,Keyword,1
transformation,Keyword,1
smoke alarms,Keyword,1
detection,Keyword,4
fire safety,Keyword,2
ceramic phase diagrams,Keyword,1
ceramics phase diagrams,Keyword,1
chemical systems,Keyword,2
inorganic compounds,Keyword,2
inorganic materials,Keyword,1
phase diagrams,Keyword,4
phase equilibria diagrams,Keyword,1
phase equilibrium diagrams,Keyword,1
semiconductors,Keyword,3
neutron research,Keyword,1
neutron scattering,Keyword,3
neutron diffraction,Keyword,3
neutron reflectometry,Keyword,1
small-angle neutron scattering,Keyword,2
neutron interferometry,Keyword,1
neutron spin-echo,Keyword,1
polarized neutrons,Keyword,1
test bed,Keyword,2
photon-number resolved detection,Keyword,1
quantum optics,Keyword,1
parametric down-conversion,Keyword,1
four-wave mixing,Keyword,1
optical modes,Keyword,1
nonclassicality,Keyword,1
mesoscopic states,Keyword,1
thermal statistics,Keyword,1
poisson statistics,Keyword,1
binomial statistics,Keyword,1
peptides,Keyword,1
mass spectroscopy,Keyword,1
proteomics,Keyword,4
lc-ms,Keyword,2
nonstructural components and systems,Keyword,1
earthquake,Keyword,3
seismic,Keyword,1
performance,Keyword,1
optical sorting,Keyword,1
laser interference field,Keyword,1
nanoparticles,Keyword,1
convection of fluid,Keyword,1
coordinate transformation,Keyword,1
registration fiducials,Keyword,1
point-based registration,Keyword,1
registration error.,Keyword,1
common data format,Keyword,1
contest,Keyword,1
district,Keyword,1
elections,Keyword,1
election results,Keyword,1
jurisdiction,Keyword,1
overvote,Keyword,1
political office,Keyword,1
political party,Keyword,1
precinct,Keyword,1
referendum,Keyword,1
undervote,Keyword,1
voting,Keyword,1
atmospheric aerosol,Keyword,3
urban dust,Keyword,1
light scattering,Keyword,4
discrete dipole approximation,Keyword,2
focused ion-beam scanning electron microscopy,Keyword,2
fib-sem,Keyword,3
fib tomography,Keyword,1
energy dispersive x-ray spectroscopy,Keyword,3
elevated-temperature,Keyword,1
high-strength structural bolts,Keyword,1
shear loading,Keyword,1
structural fire effects,Keyword,1
density functional theory,Keyword,3
classical interatomic potential,Keyword,1
force-field,Keyword,1
python,Keyword,8
jarvis,Keyword,1
mgi,Keyword,1
mdcs,Keyword,1
restapi,Keyword,1
automation,Keyword,1
applied mathematics,Keyword,1
scientific computing,Keyword,1
software components,Keyword,1
fortran,Keyword,4
c,Keyword,1
experimental database,Keyword,1
experimental design,Keyword,3
optimization,Keyword,2
outlier detection,Keyword,2
uncertainty analysis.,Keyword,1
ascii references,Keyword,2
binary image databases,Keyword,2
character recognition,Keyword,4
characters,Keyword,4
forms identifications,Keyword,2
forms recognition,Keyword,2
ground truth,Keyword,1
hand prints,Keyword,2
hand printed characters,Keyword,2
hand writing recognition,Keyword,2
handprints,Keyword,2
images,Keyword,2
ocr,Keyword,5
printed characters,Keyword,5
recognition,Keyword,3
software recognition,Keyword,5
tax forms,Keyword,2
model fitting,Keyword,1
thermodynamics,Keyword,10
medical,Keyword,1
tissue,Keyword,1
skin,Keyword,1
reflectance,Keyword,1
spectral,Keyword,1
hyperspectral,Keyword,1
remote sensing,Keyword,6
computer crimes,Keyword,1
computer forensics,Keyword,1
crimes,Keyword,1
cyber crimes,Keyword,1
defense computer forensics laboratory,Keyword,1
federal bureau of investigation,Keyword,1
file profiles,Keyword,1
finger print software,Keyword,1
fingerprints,Keyword,3
graphics,Keyword,2
hash keeper,Keyword,1
hashes,Keyword,1
investigations,Keyword,2
kff,Keyword,1
known file filters,Keyword,1
law enforcement,Keyword,2
national institute of justice,Keyword,1
national software reference library,Keyword,1
oles,Keyword,1
profiles,Keyword,2
reference data set,Keyword,1
softwares,Keyword,1
us customs services,Keyword,1
neutron reflectometry reflectivity calculator web javascript d3,Keyword,1
carbon sequestration,Keyword,1
laser absorption spectroscopy,Keyword,2
mcml,Keyword,2
optical scattering,Keyword,2
c++,Keyword,4
parallel,Keyword,3
monte carlo,Keyword,6
commission on atomic weights and isotopic abundances,Keyword,2
international union for pure and applied chemistry,Keyword,3
siam,Keyword,2
